1;1;2024-10-04T14:51:54.441637300;2024-10-04T14:52:08.661279200
2;2;2024-10-04T15:10:55.655999400;2024-10-04T15:10:57.234029900
3;2;2024-10-04T16:46:47.189569200;2024-10-04T16:46:49.177092500
4;1;2024-10-07T13:44:09.252057100;2024-10-07T13:44:09.340791100
5;1;2024-10-07T13:44:09.329452300;2024-10-07T13:44:15.626991400
6;1;2024-10-07T13:44:09.358137400;null
7;1;2024-10-07T13:44:15.575756500;null
8;1;2024-10-07T13:44:15.618803100;null
9;1;2024-10-07T13:44:15.641829400;null
10;1;2024-10-07T13:47:01.328421400;null
11;2;2024-10-07T13:47:01.420653900;2024-10-07T13:47:01.433720600
12;1;2024-10-07T13:47:08.201762400;null
13;2;2024-10-07T13:47:08.254885700;2024-10-07T13:47:08.264467500
14;1;2024-10-07T13:56:06.074062;null
15;2;2024-10-07T13:56:06.133017300;2024-10-07T13:56:06.142844900
16;1;2024-10-07T13:56:12.968892100;null
17;2;2024-10-07T13:56:13.019000900;2024-10-07T13:56:13.029706200
18;1;2024-10-07T13:56:38.037767300;null
19;2;2024-10-07T13:56:38.098187900;2024-10-07T13:56:38.110856500
20;1;2024-10-07T13:56:45.997814200;null
21;2;2024-10-07T13:56:46.048859900;2024-10-07T13:56:46.059830300
22;1;2024-10-07T14:00:34.415460700;null
23;2;2024-10-07T14:00:34.499065400;2024-10-07T14:00:34.510013400
24;1;2024-10-07T14:00:41.177043100;null
25;2;2024-10-07T14:00:41.225122600;2024-10-07T14:00:41.234159
26;1;2024-10-07T14:02:36.189463200;null
27;2;2024-10-07T14:02:36.250295200;2024-10-07T14:02:36.258690700
28;1;2024-10-07T14:02:42.982640800;null
29;2;2024-10-07T14:02:43.084528600;2024-10-07T14:02:43.097337300
30;1;2024-10-07T14:05:03.003325;null
31;2;2024-10-07T14:05:03.099779700;2024-10-07T14:05:03.112419400
32;1;2024-10-07T14:05:09.921315500;null
33;2;2024-10-07T14:05:09.983246100;2024-10-07T14:05:09.995038
